,model,af_plddt_avg,af_plddt_avg_norm,icps,recall,dproqa,dproqa_norm,pairwise,GNN_sum_score,GNN_pcadscore,voromqa_dark,GNN_sum_score_norm,GNN_pcadscore_norm,voromqa_dark_norm
0,T1170TS398_4o,0.86183965,0.8618396520614624,0.0075694444444444,0.0,5e-05,5e-05,0.9161931640625,-9208.522,0.227,0.695,-9208.522,0.227,0.695
1,T1170TS423_4o,0.84994256,0.4249712824821472,0.0080875,0.0,0.00048,0.00024,0.46005421875,3446.872,0.475,0.688,1723.436,0.2375,0.344
2,T1170TS461_2o,0.8575371,0.8575370907783508,0.0100057142857142,0.0,2e-05,2e-05,0.926227578125,0.0,0.0,0.0,0.0,0.0,0.0
3,T1170TS037_5o,0.43820554,0.4382055401802063,0.0133241379310344,0.0,0.00017,0.00017,0.5851501171875,32645.042,0.724,0.447,32645.042,0.724,0.447
4,T1170TS304_2o,0.90504706,0.9050470590591432,0.0098304347826086,0.0,8e-05,8e-05,0.8139743750000001,-819.764,0.273,0.669,-819.764,0.273,0.669
5,T1170TS119_2o,0.8575371,0.8575370907783508,0.0100057142857142,0.0,2e-05,2e-05,0.9262128125,7590.501,0.405,0.687,7590.501,0.405,0.687
6,T1170TS399_3o,0.84796685,0.8479668498039246,0.0073941176470588,0.0,1e-05,1e-05,0.930641015625,8037.583,0.434,0.681,8037.583,0.434,0.681
7,T1170TS188_2o,0.95281446,0.9528144598007202,0.0128386666666666,0.0,1e-05,1e-05,0.906432890625,-4639.797,0.26,0.688,-4639.797,0.26,0.688
8,T1170TS037_1o,0.86787885,0.8678788542747498,0.0103129032258064,0.0,2e-05,2e-05,0.931377890625,7017.697,0.401,0.682,7017.697,0.401,0.682
9,T1170TS150_1o,0.8485346,0.8485345840454102,0.0072499999999999,0.0,1e-05,1e-05,0.929342734375,6349.486,0.381,0.677,6349.486,0.381,0.677
10,T1170TS073_1o,0.84273416,0.842734158039093,0.01182,0.0,0.0017,0.0017,0.9021762499999999,18484.773,0.632,0.685,18484.773,0.632,0.685
11,T1170TS367_2o,0.8640303,0.8640303015708923,0.0061533333333333,0.0,1e-05,1e-05,0.9305467187499998,0.0,0.0,0.0,0.0,0.0,0.0
12,T1170TS399_4o,0.8629651,0.8629651069641113,0.0087642857142857,0.0,1e-05,1e-05,0.9309728515625,0.0,0.0,0.0,0.0,0.0,0.0
13,T1170TS147_5o,0.85271,0.8527100086212158,0.0099388888888888,0.0,0.0,0.0,0.931209609375,0.0,0.0,0.0,0.0,0.0,0.0
14,T1170TS248_5o,0.90504706,0.9050470590591432,0.0083033333333333,0.0,2e-05,2e-05,0.9180971484375,0.0,0.0,0.0,0.0,0.0,0.0
15,T1170TS390_5o,0.852261,0.8522610068321228,0.0110549999999999,0.0,1e-05,1e-05,0.9313483203124999,0.0,0.0,0.0,0.0,0.0,0.0
16,T1170TS423_3o,0.8712381,0.435619056224823,0.0094057142857142,0.0,0.00103,0.000515,0.465634296875,3224.766,0.463,0.687,1612.383,0.2315,0.3435
17,T1170TS185_4o,0.80219,0.8021900057792664,0.0056962962962962,0.0,0.00239,0.00239,0.8647094140625,-1261.772,0.281,0.667,-1261.772,0.281,0.667
18,T1170TS205_4o,0.0,0.0,0.0095877551020408,0.0,7e-05,7e-05,0.9232484375000001,13285.758,0.474,0.695,13285.758,0.474,0.695
19,T1170TS288_2o,0.84359145,0.8435914516448975,0.0088428571428571,0.0,2e-05,2e-05,0.91455578125,0.0,0.0,0.0,0.0,0.0,0.0
20,T1170TS125_1o,0.8578361,0.857836127281189,0.0065222222222222,0.0,1e-05,1e-05,0.9268198828125,0.0,0.0,0.0,0.0,0.0,0.0
21,T1170TS239_2o,0.862697,0.8626970052719116,0.0092028571428571,0.0,0.00072,0.00072,0.92899578125,883.542,0.272,0.673,883.542,0.272,0.673
22,T1170TS298_1o,0.85849583,0.858495831489563,0.0086,0.0,4e-05,4e-05,0.92900765625,6377.334,0.362,0.685,6377.334,0.362,0.685
23,T1170TS423_2o,0.86825746,0.4341287314891815,0.0095090909090909,0.0,0.00109,0.000545,0.4700266015625,3073.075,0.441,0.686,1536.5375,0.2205,0.343
24,T1170TS003_5o,0.8658556,0.8658555746078491,0.0069639999999999,0.0,1e-05,1e-05,0.9285116015625001,0.0,0.0,0.0,0.0,0.0,0.0
25,T1170TS229_5o,0.84727645,0.8472764492034912,0.0088260869565217,0.0,0.00056,0.00056,0.9263686718749999,0.0,0.0,0.0,0.0,0.0,0.0
26,T1170TS360_2o,0.8341685,0.8341684937477112,0.008676923076923,0.0,2e-05,2e-05,0.9294452734375,0.0,0.0,0.0,0.0,0.0,0.0
27,T1170TS462_5o,0.8913234,0.8913233876228333,0.0072275,0.0,2e-05,2e-05,0.92640984375,3065.298,0.299,0.683,3065.298,0.299,0.683
28,T1170TS037_4o,0.739994,0.7399939894676208,0.0120142857142857,0.0,0.0,0.0,0.583948671875,-754.327,0.18,0.671,-754.327,0.18,0.671
29,T1170TS125_5o,0.86132145,0.8613214492797852,0.0068521739130434,0.0,2e-05,2e-05,0.9301049609375,0.0,0.0,0.0,0.0,0.0,0.0
30,T1170TS325_1o,0.51335895,0.5133589506149292,0.0108,0.0,0.00808,0.00808,0.800951328125,0.0,0.0,0.0,0.0,0.0,0.0
31,T1170TS188_4o,0.8549109,0.8549109101295471,0.0110549999999999,0.0,1e-05,1e-05,0.9305873828125,0.0,0.0,0.0,0.0,0.0,0.0
32,T1170TS291_2o,0.0,0.0,0.0085624999999999,0.0,0.0,0.0,0.9261755859375,0.0,0.0,0.0,0.0,0.0,0.0
33,T1170TS248_4o,0.90504706,0.9050470590591432,0.0090035714285714,0.0,2e-05,2e-05,0.9190039062500001,0.0,0.0,0.0,0.0,0.0,0.0
34,T1170TS187_4o,0.84994256,0.4249712824821472,0.0080875,0.0,0.00048,0.00024,0.46005421875,0.0,0.0,0.0,0.0,0.0,0.0
