,model,af_plddt_avg,af_plddt_avg_norm,icps,recall,dproqa,dproqa_norm,pairwise,GNN_sum_score,GNN_pcadscore,voromqa_dark,GNN_sum_score_norm,GNN_pcadscore_norm,voromqa_dark_norm
0,H1166TS131_1,0.9028642,0.9028642177581788,0.1372810846560846,0.0003428670095336,0.04303,0.04303,0.760388384879725,0.0,0.0,0.0,0.0,0.0,0.0
1,H1166TS092_1,0.8969135,0.8969135284423828,0.1444877373737373,0.0003295058850614,0.03647,0.03647,0.7581935738831616,7308.453,0.851,0.701,7308.453,0.851,0.701
2,H1166TS187_3,0.912451,0.9124510288238524,0.1328357806637806,0.000309464198353,0.03216,0.03216,0.7597721993127148,6794.866,0.824,0.705,6794.866,0.824,0.705
3,H1166TS314_5,0.0,0.0,0.1114060391560391,0.0002805836139169,0.07637,0.07637,0.746633058419244,7323.916,0.79,0.69,7323.916,0.79,0.69
4,H1166TS073_1,0.9116894,0.9116894006729126,0.125099792099792,0.0002560197004641,0.04085,0.04085,0.7447958075601374,6022.096,0.83,0.706,6022.096,0.83,0.706
5,H1166TS239_1,0.8924342,0.8924341797828674,0.1291430805408583,0.0003273475495697,0.12147,0.12147,0.7273990378006874,5794.492,0.814,0.693,5794.492,0.814,0.693
6,H1166TS348_1,0.91225564,0.9122556447982788,0.1343105953224663,0.0003295058850614,0.04714,0.04714,0.7586462199312715,0.0,0.0,0.0,0.0,0.0,0.0
7,H1166TS158_4,0.88677955,0.8867795467376709,0.1018935897435897,0.000287264176153,0.12129,0.12129,0.7631227147766323,6332.376,0.836,0.697,6332.376,0.836,0.697
8,H1166TS071_5,0.8666562,0.8666561841964722,0.1172876984126984,0.0003340281118058,0.03698,0.03698,0.6911121993127148,5674.824,0.777,0.689,5674.824,0.777,0.689
9,H1166TS133_5,0.8844499,0.8844498991966248,0.1149943965517241,0.0003340281118058,0.07958,0.07958,0.7013170103092784,0.0,0.0,0.0,0.0,0.0,0.0
10,H1166TS385_1,0.9202996,0.9202995896339417,0.1036706084656084,0.0002672224894447,0.0442,0.0442,0.7783550171821305,6677.886,0.833,0.701,6677.886,0.833,0.701
11,H1166TS086_1,0.91382045,0.9138204455375672,0.1388884983261597,0.0003361864472975,0.03829,0.03829,0.7607746735395189,0.0,0.0,0.0,0.0,0.0,0.0
12,H1166TS288_3,0.88451374,0.8845137357711792,0.1202879292929293,0.0003206669873336,0.11404,0.11404,0.6958570103092784,6155.03,0.795,0.703,6155.03,0.795,0.703
13,H1166TS180_2,0.9078776,0.9078776240348816,0.1037940080971659,0.0002805836139169,0.10497,0.10497,0.7509898281786942,6796.994,0.826,0.703,6796.994,0.826,0.703
14,H1166TS187_2,0.8802513,0.8802512884140015,0.1093717647058823,0.0003073058628614,0.08902,0.08902,0.7170880068728523,0.0,0.0,0.0,0.0,0.0,0.0
15,H1166TS444_5,0.9208561,0.9208561182022096,0.145240625,0.000320564209453,0.04888,0.04888,0.7608758762886597,7745.056,0.842,0.699,7745.056,0.842,0.699
16,H1166TS433_4,0.87159306,0.8715930581092834,0.1207557997557997,0.0003540697985142,0.01285,0.01285,0.7131984192439863,0.0,0.0,0.0,0.0,0.0,0.0
17,H1166TS125_2,0.92055446,0.9205544590950012,0.1150239814814814,0.0002939447383891,0.08402,0.08402,0.7773906872852233,0.0,0.0,0.0,0.0,0.0,0.0
18,H1166TS133_3,0.8833767,0.8833767175674438,0.112685162601626,0.0003206669873336,0.09609,0.09609,0.7568015807560138,0.0,0.0,0.0,0.0,0.0,0.0
19,H1166TS288_4,0.87681127,0.8768112659454346,0.1344636969696969,0.0002894225116447,0.04161,0.04161,0.7386032646048111,5276.561,0.778,0.692,5276.561,0.778,0.692
20,H1166TS291_4,0.0,0.0,0.1226739056224899,0.0003206669873336,0.11417,0.1139721317157712,0.7437119587628865,0.0,0.0,0.0,0.0,0.0,0.0
21,H1166TS298_5,0.8864047,0.8864046931266785,0.1017204597701149,0.0003139864250975,0.07152,0.07152,0.7031756013745705,6355.075,0.863,0.695,6355.075,0.863,0.695
22,H1166TS390_2,0.90962565,0.9096256494522096,0.13841483908856,0.0003495475717697,0.0419,0.0419,0.7606361512027491,0.0,0.0,0.0,0.0,0.0,0.0
23,H1166TS399_1,0.91769814,0.9176981449127196,0.1136117259878994,0.0002939447383891,0.079,0.079,0.7795680412371134,7443.405,0.853,0.71,7443.405,0.853,0.71
24,H1166TS150_3,0.88078314,0.8807831406593323,0.1108195642701524,0.0003206669873336,0.08522,0.08522,0.764108178694158,0.0,0.0,0.0,0.0,0.0,0.0
25,H1166TS054_1,0.91769814,0.9176981449127196,0.1136117259878994,0.0002939447383891,0.079,0.079,0.7795680412371134,0.0,0.0,0.0,0.0,0.0,0.0
26,H1166TS444_3,0.9086361,0.9086360931396484,0.1223743442831678,0.0003006253006253,0.10548,0.10548,0.7012123024054983,5678.756,0.754,0.691,5678.756,0.754,0.691
27,H1166TS119_5,0.8696274,0.8696274161338806,0.1091836274509803,0.0003139864250975,0.05628,0.05628,0.7661907560137458,5941.833,0.802,0.693,5941.833,0.802,0.693
28,H1166TS320_3,0.9015081,0.901508092880249,0.1414556862745098,0.0003495475717697,0.0555,0.0555,0.7602735051546391,0.0,0.0,0.0,0.0,0.0,0.0
29,H1166TS205_4,0.0,0.0,0.1204297926634768,0.0003807920474587,0.03516,0.03516,0.6292701374570447,5895.748,0.808,0.684,5895.748,0.808,0.684
30,H1166TS320_5,0.89063007,0.8906300663948059,0.1186843137254902,0.0003273475495697,0.101,0.101,0.6942478694158075,0.0,0.0,0.0,0.0,0.0,0.0
31,H1166TS433_1,0.8737303,0.8737303018569946,0.1064553191489361,0.0003540697985142,0.01629,0.01629,0.7155909965635738,0.0,0.0,0.0,0.0,0.0,0.0
32,H1166TS147_2,0.0,0.0,0.1183383809523809,0.0002850030627808,0.04317,0.04317,0.722331030927835,6974.828,0.761,0.682,6974.828,0.761,0.682
33,H1166TS298_1,0.88829404,0.8882940411567688,0.1136031729055258,0.0003273475495697,0.10737,0.10737,0.708424089347079,5987.084,0.771,0.696,5987.084,0.771,0.696
34,H1166TS158_3,0.88793945,0.887939453125,0.10980456287008,0.0003206669873336,0.104,0.104,0.6976951890034364,6540.763,0.86,0.697,6540.763,0.86,0.697
35,H1166TS188_1,0.0,0.0,0.1427174603174603,0.0003495475717697,0.04529,0.04529,0.7602700687285224,6453.722,0.831,0.7,6453.722,0.831,0.7
36,H1166TS098_3,0.9010693,0.9010692834854126,0.1414556862745098,0.0003495475717697,0.05616,0.05616,0.7602735738831614,0.0,0.0,0.0,0.0,0.0,0.0
37,H1166TS091_3,0.754332,0.7543320059776306,0.0476738479121095,6.680562236117791e-05,0.06082,0.06082,0.6047542955326461,-49.908,0.345,0.615,-49.908,0.345,0.615
38,H1166TS225_5,0.91137064,0.9113706350326538,0.1067628468023205,0.0002672224894447,0.06758,0.06758,0.7449722680412371,6730.939,0.743,0.697,6730.939,0.743,0.697
39,H1166TS011_4,0.8790755,0.8790755271911621,0.1090803921568627,0.0003206669873336,0.11274,0.11274,0.7529158419243985,0.0,0.0,0.0,0.0,0.0,0.0
40,H1166TS350_5,0.0,0.0,0.1081595719582069,0.0003340281118058,0.07914,0.07914,0.7069602405498282,5942.782,0.836,0.675,5942.782,0.836,0.675
41,H1166TS011_2,0.88395303,0.8839530348777771,0.1124374999999999,0.0002939447383891,0.03899,0.03899,0.7565775945017182,0.0,0.0,0.0,0.0,0.0,0.0
42,H1166TS350_3,0.0,0.0,0.1200507164669955,0.0003340281118058,0.13257,0.1323402426343154,0.7581557731958763,5540.923,0.782,0.681,5531.320013864818,0.7806447140381284,0.6798197573656847
43,H1166TS003_1,0.9132606,0.913260579109192,0.1366353535353535,0.0003228253228253,0.05308,0.05308,0.7594714089347079,0.0,0.0,0.0,0.0,0.0,0.0
44,H1166TS360_4,0.88011056,0.8801105618476868,0.1123400208986415,0.0003206669873336,0.07602,0.07602,0.7695225429553265,5951.275,0.816,0.685,5951.275,0.816,0.685
